,assets,avg_price_last_30_days_usd,cumulative_units,equity,market_cap,__row_index,APR,APR_daily,APR_Decimal,staked_ETH,simple_interest_daily,simple_interest_accumulated,compound_interest,total_compound_interest
2023-03-22 00:00:00+00:00,179.438208333,179.438208333,1,-179.438208333,179.438208333,327,4.277083333333334,0.00011718036529680366,0.042770833333333334,89.7191041665,0.010513317400332449,0.010513317400332449,89.7191041665,0.0
2023-03-23 00:00:00+00:00,249.851758333,124.925879167,2,-249.851758333,249.851758333,326,4.661458333333333,0.00012771118721461187,0.04661458333333333,124.9258791665,0.01595443234218286,0.02646774974251531,124.94183359884218,0.015954432342184077
2023-03-24 00:00:00+00:00,782.656985417,260.885661806,3,-782.656985417,782.656985417,325,4.589583333333334,0.0001257420091324201,0.04589583333333334,391.3284927085,0.0492064309039284,0.07567418064644371,391.39365557788847,0.06516286938847315
2023-03-25 00:00:00+00:00,768.223421667,256.074473889,3,-768.223421667,768.223421667,324,4.1833333333333345,0.00011461187214611876,0.04183333333333335,384.1117108335,0.044023762291876045,0.11969794293831976,384.2209049336188,0.10919410011877062
2023-03-26 00:00:00+00:00,791.32261,197.8306525,4,-791.32261,791.32261,323,4.130208333333334,0.00011315639269406394,0.041302083333333336,395.661305,0.04477160600242581,0.16446954894074556,395.81528306213175,0.1539780621317277
2023-03-27 00:00:00+00:00,818.900772083,163.780154417,5,-818.900772083,818.900772083,322,4.54375,0.000124486301369863,0.0454375,409.4503860415,0.050970964152768916,0.21544051309351447,409.65535423594395,0.20496819444394987
2023-03-28 00:00:00+00:00,867.69800125,144.616333542,6,-867.69800125,867.69800125,321,5.277083333333334,0.00014457762557077626,0.052770833333333336,433.849000625,0.06272485836661672,0.2781653714601312,434.11672331162544,0.2677226866254614
2023-03-29 00:00:00+00:00,964.166747083,137.738106726,7,-964.166747083,964.166747083,320,4.510416666666667,0.00012357305936073058,0.04510416666666667,482.0833735415,0.059572517335465036,0.33773788879559624,482.4107018287724,0.32732828727239394
2023-03-30 00:00:00+00:00,1113.437466167,139.179683271,8,-1113.437466167,1113.437466167,319,4.801041666666667,0.0001315353881278539,0.04801041666666667,556.7187330835,0.07322821463418526,0.4109661034297815,557.1193326406599,0.40059955715992146
2023-03-31 00:00:00+00:00,1259.616199208,139.957355468,9,-1259.616199208,1259.616199208,318,4.190625,0.00011481164383561644,0.04190625,629.808099604,0.07230930321652088,0.4832754066463024,630.2810544578701,0.472954853870192
2023-04-01 00:00:00+00:00,1269.027084708,141.003009412,9,-1269.027084708,1269.027084708,317,4.41875,0.00012106164383561645,0.044187500000000005,634.513542354,0.07681525247333529,0.5600906591196377,635.0633697170357,0.5498273630356607
2023-04-02 00:00:00+00:00,1295.405021542,129.540502154,10,-1295.405021542,1295.405021542,316,3.903125,0.00010693493150684932,0.03903125,647.702510771,0.06926202362611122,0.629352682745749,648.3216589534131,0.6191481824131415
2023-04-03 00:00:00+00:00,37329.87076875,121.920069886,11,-1341.12076875,1341.12076875,315,4.108333333333333,0.00011255707762557078,0.04108333333333333,18664.935384375,2.1008705809353594,2.7302232636811086,18667.655472827857,2.7200884528574534
